[13:34:26][INFO ][PID: 1422] KASJER: Rozpoczynam pracę (PID: 1422)
[13:34:26][INFO ][PID: 1422] KASJER: Obsługuję turystę #3 (wiek: 4, VIP: NIE)
[13:34:58][INFO ][PID: 1422] KASJER: Obsługuję turystę #47 (wiek: 44, VIP: NIE)
[13:34:58][INFO ][PID: 1422] KASJER: Wydaję bilet #46, cena: 50 zł
[13:34:58][INFO ][PID: 1422] KASJER: Obsługuję turystę #48 (wiek: 6, VIP: NIE)
[13:34:58][INFO ][PID: 1422] KASJER: Wydaję bilet #47, cena: 22 zł
[13:34:59][INFO ][PID: 1422] KASJER: Obsługuję turystę #49 (wiek: 68, VIP: NIE)
[13:34:59][INFO ][PID: 1422] KASJER: Wydaję bilet #48, cena: 11 zł
[13:34:59][INFO ][PID: 1422] KASJER: Obsługuję turystę #50 (wiek: 7, VIP: NIE)
[13:34:59][INFO ][PID: 1422] KASJER: Wydaję bilet #49, cena: 75 zł
[13:35:00][INFO ][PID: 1422] KASJER: Obsługuję turystę #51 (wiek: 35, VIP: NIE)
[13:35:00][INFO ][PID: 1422] KASJER: Wydaję bilet #50, cena: 50 zł
[13:35:01][INFO ][PID: 1422] KASJER: Obsługuję turystę #52 (wiek: 21, VIP: NIE)
[13:35:01][INFO ][PID: 1422] KASJER: Wydaję bilet #51, cena: 100 zł
[13:35:02][INFO ][PID: 1422] KASJER: Obsługuję turystę #53 (wiek: 32, VIP: NIE)
[13:35:02][INFO ][PID: 1422] KASJER: Wydaję bilet #52, cena: 30 zł
[13:35:02][INFO ][PID: 1422] KASJER: Obsługuję turystę #54 (wiek: 4, VIP: NIE)
[13:35:02][INFO ][PID: 1422] KASJER: Wydaję bilet #53, cena: 75 zł
[13:35:02][INFO ][PID: 1422] KASJER: Obsługuję turystę #55 (wiek: 7, VIP: NIE)
[13:35:02][INFO ][PID: 1422] KASJER: Wydaję bilet #54, cena: 37 zł
[13:35:03][INFO ][PID: 1422] KASJER: Obsługuję turystę #56 (wiek: 61, VIP: NIE)
[13:35:03][INFO ][PID: 1422] KASJER: Wydaję bilet #55, cena: 70 zł
[13:35:04][INFO ][PID: 1422] KASJER: Obsługuję turystę #57 (wiek: 40, VIP: NIE)
[13:35:04][INFO ][PID: 1422] KASJER: Wydaję bilet #56, cena: 30 zł
[13:35:05][INFO ][PID: 1422] KASJER: Obsługuję turystę #58 (wiek: 54, VIP: NIE)
[13:35:05][INFO ][PID: 1422] KASJER: Wydaję bilet #57, cena: 70 zł
[13:35:05][INFO ][PID: 1422] KASJER: Obsługuję turystę #59 (wiek: 5, VIP: NIE)
[13:35:05][INFO ][PID: 1422] KASJER: Wydaję bilet #58, cena: 11 zł
[13:35:06][INFO ][PID: 1422] KASJER: Obsługuję turystę #60 (wiek: 26, VIP: NIE)
[13:35:06][INFO ][PID: 1422] KASJER: Wydaję bilet #59, cena: 70 zł
[13:35:07][INFO ][PID: 1422] KASJER: Obsługuję turystę #61 (wiek: 31, VIP: NIE)
[13:35:07][INFO ][PID: 1422] KASJER: Wydaję bilet #60, cena: 15 zł
[13:35:07][INFO ][PID: 1422] KASJER: Obsługuję turystę #62 (wiek: 4, VIP: NIE)
[13:35:07][INFO ][PID: 1422] KASJER: Wydaję bilet #61, cena: 75 zł
[13:35:07][INFO ][PID: 1422] KASJER: Obsługuję turystę #63 (wiek: 5, VIP: NIE)
[13:35:07][INFO ][PID: 1422] KASJER: Wydaję bilet #62, cena: 52 zł
[13:35:07][INFO ][PID: 1422] KASJER: Kończę pracę. Sprzedano 62 biletów.
